Regressor,Method,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
Lasso-H,ratio-diff-signed,0.09,0.03,0.07,0.05,-0.84,-0.02,0.02,0.05,0.13,0.49,0.84,1.00,-1.00,3.46,0.04,29.61,0.99,0.60,0.01
LinReg,ratio-diff-signed,0.10,0.03,0.07,0.07,-0.83,-0.34,0.02,0.07,0.17,0.56,0.86,1.00,-1.00,3.22,0.09,24.60,1.01,0.66,0.01
Knn-H,ratio-diff-signed,0.11,0.03,0.12,0.04,-0.88,-0.46,0.00,0.04,0.24,0.73,0.93,1.00,-0.99,2.70,0.12,19.89,1.80,0.73,0.02
Ridge-H,ratio-diff-signed,0.11,0.03,0.07,0.07,-0.81,-0.29,0.02,0.07,0.17,0.57,0.87,1.00,-1.00,3.20,0.08,24.73,0.95,0.66,0.01
SVR-H,ratio-diff-signed,0.13,0.04,0.09,0.11,-0.92,-0.58,0.02,0.11,0.28,0.71,0.93,1.00,-1.00,2.40,0.09,14.46,0.95,0.80,0.01
RF-H,ratio-diff-signed,0.14,0.04,0.09,0.13,-0.92,-0.58,0.03,0.13,0.30,0.72,0.93,1.00,-1.00,2.14,0.10,10.88,1.76,0.85,0.02
Lasso-H,ratio-diff,0.14,0.05,0.13,0.06,0.00,0.00,0.03,0.06,0.16,0.64,0.92,1.00,0.00,3.46,0.04,29.61,0.99,0.60,0.01
Ridge-H,ratio-diff,0.17,0.04,0.14,0.09,0.00,0.00,0.03,0.09,0.22,0.68,0.92,1.00,0.00,3.20,0.08,24.73,0.95,0.66,0.01
LinReg,ratio-diff,0.18,0.04,0.14,0.09,0.00,0.00,0.04,0.09,0.23,0.68,0.91,1.00,0.00,3.22,0.09,24.60,1.01,0.66,0.01
Knn-H,ratio-diff,0.21,0.04,0.11,0.11,0.00,0.00,0.00,0.11,0.33,0.80,0.94,1.00,0.00,2.70,0.12,19.89,1.80,0.73,0.02
SVR-H,ratio-diff,0.25,0.06,0.14,0.16,0.00,0.00,0.06,0.16,0.37,0.82,0.96,1.00,0.00,2.40,0.09,14.46,0.95,0.80,0.01
RF-H,ratio-diff,0.27,0.05,0.13,0.19,0.00,0.01,0.07,0.19,0.39,0.82,0.97,1.00,0.00,2.14,0.10,10.88,1.76,0.85,0.02
Lasso-H,intersection_union_distance,0.45,0.20,0.26,0.31,0.00,0.01,0.13,0.31,0.61,1.32,2.13,8.97,0.00,3.46,0.04,29.61,0.99,0.60,0.01
RF-H,ratio-signed,0.53,0.09,0.28,0.67,-0.86,-0.45,0.35,0.67,0.86,0.98,1.00,1.00,-1.00,2.14,0.10,10.88,1.76,0.85,0.02
Ridge-H,intersection_union_distance,0.53,0.16,0.23,0.40,0.00,0.02,0.18,0.40,0.73,1.46,2.28,7.81,0.00,3.20,0.08,24.73,0.95,0.66,0.01
SVR-H,ratio-signed,0.55,0.11,0.28,0.70,-0.86,-0.44,0.37,0.70,0.89,0.99,1.00,1.00,-1.00,2.40,0.09,14.46,0.95,0.80,0.01
